model_idx,observed_node_ids,batch_size,T,ymin,ymax,"simu_time_jz (b=50, T=2500)",valid_trajectories_ratio,stable_trajectories_ratio,periodic_trajectories_ratio,reached_space_extent,n_covered_bins
3,"(0, 1)",50,2500,"[0.0005000000237487257, 1.0123229913006071e-05, 1.0103083525336842e-07]","[11.663924217224121, 14.446367263793945, 13.748531341552734]",6.164742946624756,0.98,0.0,1.0,[0.4264891  0.71767825],29
3,"(0, 2)",50,2500,"[0.0005000000237487257, 1.0123229913006071e-05, 1.0103083525336842e-07]","[11.663924217224121, 14.446367263793945, 13.748531341552734]",6.164742946624756,0.98,0.0,1.0,[0.4264891 0.6701137],28
3,"(1, 2)",50,2500,"[0.0005000000237487257, 1.0123229913006071e-05, 1.0103083525336842e-07]","[11.663924217224121, 14.446367263793945, 13.748531341552734]",6.164742946624756,0.98,0.0,1.0,[0.71767825 0.6701137 ],21
4,"(0, 1)",50,2500,"[0.0005000000237487257, 0.013881620950996876, 1.0124201253347564e-05, 0.015629639849066734, 1.010412802315841e-07]","[11.663956642150879, 19.995948791503906, 14.446300506591797, 19.999958038330078, 13.74810791015625]",6.327416658401489,1.0,0.0,1.0,[ 0.4625559 24.84933  ],49
4,"(0, 2)",50,2500,"[0.0005000000237487257, 0.013881620950996876, 1.0124201253347564e-05, 0.015629639849066734, 1.010412802315841e-07]","[11.663956642150879, 19.995948791503906, 14.446300506591797, 19.999958038330078, 13.74810791015625]",6.327416658401489,1.0,0.0,1.0,[0.4625559 0.6729025],27
4,"(0, 3)",50,2500,"[0.0005000000237487257, 0.013881620950996876, 1.0124201253347564e-05, 0.015629639849066734, 1.010412802315841e-07]","[11.663956642150879, 19.995948791503906, 14.446300506591797, 19.999958038330078, 13.74810791015625]",6.327416658401489,1.0,0.0,1.0,[ 0.4625559 25.319752 ],46
4,"(0, 4)",50,2500,"[0.0005000000237487257, 0.013881620950996876, 1.0124201253347564e-05, 0.015629639849066734, 1.010412802315841e-07]","[11.663956642150879, 19.995948791503906, 14.446300506591797, 19.999958038330078, 13.74810791015625]",6.327416658401489,1.0,0.0,1.0,[0.4625559 0.7628341],25
4,"(1, 2)",50,2500,"[0.0005000000237487257, 0.013881620950996876, 1.0124201253347564e-05, 0.015629639849066734, 1.010412802315841e-07]","[11.663956642150879, 19.995948791503906, 14.446300506591797, 19.999958038330078, 13.74810791015625]",6.327416658401489,1.0,0.0,1.0,[24.84933    0.6729025],34
4,"(1, 3)",50,2500,"[0.0005000000237487257, 0.013881620950996876, 1.0124201253347564e-05, 0.015629639849066734, 1.010412802315841e-07]","[11.663956642150879, 19.995948791503906, 14.446300506591797, 19.999958038330078, 13.74810791015625]",6.327416658401489,1.0,0.0,1.0,[24.84933  25.319752],49
4,"(1, 4)",50,2500,"[0.0005000000237487257, 0.013881620950996876, 1.0124201253347564e-05, 0.015629639849066734, 1.010412802315841e-07]","[11.663956642150879, 19.995948791503906, 14.446300506591797, 19.999958038330078, 13.74810791015625]",6.327416658401489,1.0,0.0,1.0,[24.84933    0.7628341],23
4,"(2, 3)",50,2500,"[0.0005000000237487257, 0.013881620950996876, 1.0124201253347564e-05, 0.015629639849066734, 1.010412802315841e-07]","[11.663956642150879, 19.995948791503906, 14.446300506591797, 19.999958038330078, 13.74810791015625]",6.327416658401489,1.0,0.0,1.0,[ 0.6729025 25.319752 ],33
4,"(2, 4)",50,2500,"[0.0005000000237487257, 0.013881620950996876, 1.0124201253347564e-05, 0.015629639849066734, 1.010412802315841e-07]","[11.663956642150879, 19.995948791503906, 14.446300506591797, 19.999958038330078, 13.74810791015625]",6.327416658401489,1.0,0.0,1.0,[0.6729025 0.7628341],14
4,"(3, 4)",50,2500,"[0.0005000000237487257, 0.013881620950996876, 1.0124201253347564e-05, 0.015629639849066734, 1.010412802315841e-07]","[11.663956642150879, 19.995948791503906, 14.446300506591797, 19.999958038330078, 13.74810791015625]",6.327416658401489,1.0,0.0,1.0,[25.319752   0.7628341],24
6,"(0, 1)",50,2500,"[0.03316820412874222, 0.0, 0.0, 0.0]","[20.0, 6.026098728179932, 5.765517234802246, 6.732695579528809]",2.2442057132720947,0.7,0.0,1.0,[23.605742    0.03007852],35
6,"(0, 2)",50,2500,"[0.03316820412874222, 0.0, 0.0, 0.0]","[20.0, 6.026098728179932, 5.765517234802246, 6.732695579528809]",2.2442057132720947,0.7,0.0,1.0,[2.3605742e+01 7.6856534e-04],35
