model_idx,loading_sbml_error,loading_jax_error,init_error,simu_error,model_name,species_names,genus_names,family_names,order_names,class_names,phylum_names,kingdom_names,superkingdom_names,n_species,n_parameters,n_compartments,n_reactions,n_raterules,n_assignmentrules,n_nodes,n_inputs_per_node,n_variables,n_constants,simu_time (T=10)
1,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
2,,,,NaN values,Edelstein1996 - EPSP ACh species,['Tetronarce californica'],['Tetronarce'],['Torpedinidae'],['Torpediniformes'],['Chondrichthyes'],['Chordata'],['Metazoa'],['Eukaryota'],13,34,1,17,0,0,13,"[2, 8, 3, 2, 3, 3, 4, 3, 4, 3, 2, 3, 2]",0,35,
3,,,,,Goldbeter1991 - Min Mit Oscil,[],[],[],[],['Amphibia'],['Chordata'],['Metazoa'],['Eukaryota'],3,5,1,7,0,2,3,"[3, 2, 2]",2,14,0.657469272613525
4,,,,,"Goldbeter1991 - Min Mit Oscil, Expl Inact",[],[],[],[],['Amphibia'],['Chordata'],['Metazoa'],['Eukaryota'],5,5,1,7,0,2,5,"[3, 2, 2, 2, 2]",2,14,0.596682786941528
5,,,,NaN values,Tyson1991 - Cell Cycle 6 var,[],[],[],[],[],[],[],['Eukaryota'],9,0,1,9,0,2,7,"[3, 3, 2, 3, 3, 3, 3]",2,11,
6,,,,,Tyson1991 - Cell Cycle 2 var,[],[],[],[],[],[],[],['Eukaryota'],4,5,1,3,2,2,4,"[2, 2, 2, 0]",2,5,0.495920419692993
7,,Events are not handled,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
8,,,,,Gardner1998 - Cell Cycle Goldbeter,[],[],[],[],['Amphibia'],['Chordata'],['Metazoa'],['Eukaryota'],5,5,1,13,0,2,5,"[6, 2, 2, 5, 4]",2,22,0.726151466369629
9,,,,NaN values,Huang1996 - Ultrasensitivity in MAPK cascade,['Xenopus laevis'],['Xenopus'],['Pipidae'],['Anura'],['Amphibia'],['Chordata'],['Metazoa'],['Eukaryota'],26,1,1,20,0,4,22,"[2, 2, 2, 6, 2, 2, 2, 2, 4, 4, 2, 2, 6, 2, 2, 2, 4, 4, 2, 2, 2, 2]",4,32,
10,,,,,Kholodenko2000 - Ultrasensitivity and negative feedback bring oscillations in MAPK cascade,['Xenopus laevis'],['Xenopus'],['Pipidae'],['Anura'],['Amphibia'],['Chordata'],['Metazoa'],['Eukaryota'],8,0,1,10,0,0,8,"[2, 2, 2, 4, 2, 2, 4, 2]",0,23,0.722833156585693
11,,,,Neg values,Levchenko2000_MAPK_noScaffold,['Xenopus laevis'],['Xenopus'],['Pipidae'],['Anura'],['Amphibia'],['Chordata'],['Metazoa'],['Eukaryota'],22,0,1,30,0,0,22,"[3, 3, 3, 9, 3, 3, 3, 3, 6, 6, 3, 3, 9, 3, 3, 3, 6, 6, 3, 3, 3, 3]",0,31,
12,,,,,Elowitz2000 - Repressilator,['Escherichia coli'],['Escherichia'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],[],['Bacteria'],6,16,1,12,0,9,6,"[2, 2, 2, 2, 2, 2]",9,8,0.649887084960938
13,,,,NaN values,Poolman2004_CalvinCycle,['Nicotiana tabacum'],['Nicotiana'],['Solanaceae'],['Solanales'],['Magnoliopsida'],['Streptophyta'],['Viridiplantae'],['Eukaryota'],27,1,2,21,0,0,27,"[2, 1, 4, 4, 2, 4, 1, 1, 1, 6, 10, 4, 2, 3, 3, 2, 2, 2, 2, 3, 2, 3, 2, 3, 1, 1, 1]",0,79,
14,,,,,Levchenko2000_MAPK_Scaffold,['Xenopus laevis'],['Xenopus'],['Pipidae'],['Anura'],['Amphibia'],['Chordata'],['Metazoa'],['Eukaryota'],86,0,1,300,0,0,86,"[51, 35, 3, 41, 3, 3, 27, 3, 30, 6, 3, 3, 33, 3, 27, 3, 30, 6, 3, 3, 27, 3, 16, 12, 16, 12, 15, 11, 12, 8, 12, 8, 12, 8, 12, 8, 12, 8, 13, 9, 12, 9, 12, 9, 12, 9, 12, 12, 11, 8, 8, 8, 8, 8, 9, 10, 10, 10, 12, 12, 11, 8, 8, 8, 8, 8, 9, 9, 9, 9, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",0,301,4.46854829788208
15,,,,NaN values,Curto1998 - purine metabolism,['Homo sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],18,0,1,37,0,0,17,"[9, 6, 3, 4, 4, 7, 6, 4, 2, 4, 4, 7, 2, 4, 3, 1, 2]",0,113,
16,,,,Neg values,Goldbeter1995_CircClock,['Drosophila melanogaster'],['Drosophila'],['Drosophilidae'],['Diptera'],['Insecta'],['Arthropoda'],['Metazoa'],['Eukaryota'],7,0,3,10,0,1,6,"[4, 2, 3, 4, 5, 2]",1,21,
17,,,,NaN values,Hoefnagel2002_PyruvateBranches,['Lactococcus lactis'],['Lactococcus'],['Streptococcaceae'],['Lactobacillales'],['Bacilli'],['Firmicutes'],[],['Bacteria'],19,0,1,14,0,0,19,"[3, 7, 1, 3, 7, 5, 1, 3, 3, 1, 2, 1, 2, 1, 3, 4, 1, 1, 1]",0,72,
18,,,,NaN values,Morrison1989 - Folate Cycle,['Homo sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],33,1,2,47,0,2,29,"[9, 1, 7, 2, 1, 2, 1, 1, 1, 4, 1, 2, 3, 1, 1, 5, 2, 7, 8, 8, 8, 6, 1, 12, 3, 3, 3, 3, 3]",2,111,
19,,,,NaN values,Schoeberl2002 - EGF MAPK,['Homo sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Metazoa'],['Eukaryota'],100,90,3,125,0,8,94,"[1, 3, 3, 2, 3, 4, 9, 2, 4, 9, 3, 4, 2, 8, 2, 3, 2, 8, 6, 6, 8, 8, 4, 3, 3, 4, 3, 3, 5, 5, 9, 4, 4, 2, 6, 4, 4, 5, 6, 4, 4, 2, 4, 2, 4, 2, 6, 8, 2, 2, 4, 2, 4, 2, 2, 8, 2, 2, 1, 1, 1, 8, 4, 3, 3, 4, 3, 5, 5, 9, 4, 2, 6, 4, 2, 2, 4, 2, 6, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",8,91,
20,,,,Neg values,hodgkin-huxley squid-axon 1952,['Loligo forbesii'],['Loligo'],['Loliginidae'],['Teuthida'],['Cephalopoda'],['Mollusca'],['Metazoa'],['Eukaryota'],0,27,1,0,4,14,4,"[0, 0, 0, 0]",14,10,
21,,,,,Leloup1999_CircClock,['Drosophila melanogaster'],['Drosophila'],['Drosophilidae'],['Diptera'],['Insecta'],['Arthropoda'],['Metazoa'],['Eukaryota'],10,4,2,24,0,2,10,"[4, 5, 4, 5, 4, 4, 3, 2, 2, 2]",2,48,1.1007969379425
22,,,,,Ueda2001_CircClock,['Drosophila melanogaster'],['Drosophila'],['Drosophilidae'],['Diptera'],['Insecta'],['Arthropoda'],['Metazoa'],['Eukaryota'],13,0,3,32,0,0,12,"[26, 3, 3, 3, 5, 4, 4, 5, 1, 4, 4, 4]",0,70,1.33176851272583
23,,,,,Rohwer2001_Sucrose,['Saccharum officinarum'],['Saccharum'],['Poaceae'],['Poales'],['Magnoliopsida'],['Streptophyta'],['Viridiplantae'],['Eukaryota'],13,0,1,11,0,0,13,"[1, 5, 1, 3, 3, 7, 3, 2, 2, 4, 1, 1, 1]",0,55,1.40888524055481
24,,New case: unkown Reaction variable: delay,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
25,,New case: unkown Reaction variable: delay,,,,[],[],[],[],[],[],[],[],,,,,,,,,,,
26,,,,,Markevich2004_MAPK_orderedElementary,['Xenopus laevis'],['Xenopus'],['Pipidae'],['Anura'],['Amphibia'],['Chordata'],['Metazoa'],['Eukaryota'],11,16,1,10,0,0,11,"[2, 4, 2, 4, 2, 2, 4, 2, 2, 2, 2]",0,17,0.691246747970581
